# ADJECTIFS

# ADVERBES

# CONJONCTIONS

wa                          et

# DÉTERMINANTS

# INTERJECTIONS

# NOMS

al-baytou                 la maison[suj.]
al-kàtibou                l'écrivain
al-kitàba                 le livre[dir.]
ar-rajoulou               l'homme[suj.]
al-waladou                l'enfant[suj.]
al-wàlidou                le père[suj.]


# PRÉPOSITIONS

fi                          dans

# PRONOMS

mà ?                        quoi ? qu'est-ce que ?

# VERBES

dakhala                     il est entré, il entra
darasa                      il a étudié, il étudia
jalasa                      il s'est assis, il s'assit
kataba                      il a écrit, il écrivit
wajada                      il a trouvé, il trouva
